conversation_id,turn_no,speaker,utterance,P-Strategy,keyword1,keyword2,keyword3,keyword4,keyword5
1,1,User,I have a 2021 Honda Amaze. What insurance would you recommend?,Logical,insurance,recommend,,,
1,2,Agent,Of course. HDFC ERGO offers comprehensive policies with additional benefits such as Roadside Assistance and Zero Depreciation.,Logical,policies,benefits,assistance,depreciation,
1,3,User,What does the comprehensive policy include and what's the premium?,Logical,policy,premium,include,,
1,4,Agent,"It includes own damage, third-party liability, theft, natural disasters, and more. The premium is approx $1176 per year, based on IDV.",Logical,damage,theft,disaster,premium,
1,5,User,Is there roadside assistance in the policy?,Logical,assistance,policy,roadside,,
1,6,Agent,"Yes, HDFC ERGO includes Roadside Assistance with services like towing, jump-start, flat tire help, and fuel delivery.",Logical,assistance,services,delivery,help,
1,7,User,Can I get add-ons like Zero Depreciation?,Logical,add-ons,depreciation,,,
1,8,Agent,"Yes, Zero Depreciation is a valuable add-on. It’ll cost an extra $145 yearly but maximizes your claim amount.",Logical,Depreciation,claim,cost,valuable,
1,9,User,Is the claim process easy?,Logical,process,easy,claim,,
1,10,Agent,HDFC ERGO has a hassle-free claim process with online tracking and a wide garage network for cashless repairs.,Logical,process,tracking,network,repairs,
1,11,User,I haven’t claimed before. Any benefit?,Logical,claimed,benefit,,,
1,12,Agent,"Yes, you qualify for a No Claim Bonus, which reduces your premium and can go up to 50%.",Logical,qualify,premium,bonus,reduce,
1,13,User,What about engine damage—does the policy cover that?,Logical,damage,policy,cover,,
1,14,Agent,That’s covered if you opt for the Engine & Gearbox Protection add-on. It’s recommended for newer vehicles.,Logical,covered,protection,recommended,,
1,15,User,Thanks! I’m interested in the HDFC ERGO plan.,Logical,interest,plan,,,
1,16,Agent,Perfect! I’ll prepare a detailed quote and guide you through the online purchase steps.,Logical,quote,purchase,guide,,
2,1,User,I have a 2023 Maruti Suzuki Celerio. What insurance would you recommend?,Logical,insurance,recommend,,,
2,2,Agent,Of course. HDFC ERGO offers comprehensive policies with additional benefits such as Roadside Assistance and Zero Depreciation.,Logical,policies,benefits,assistance,depreciation,
2,3,User,What does the comprehensive policy include and what's the premium?,Logical,policy,premium,include,,
2,4,Agent,"It includes own damage, third-party liability, theft, natural disasters, and more. The premium is approx $968 per year, based on IDV.",sdfsdfsdfsdf,,,,,
